"Zipcode","Fair health","Poor health","Harmful Guards","Helpful Guards","Sidewalk Damage","rootstone","rootgrate","rootother","trunkwire","trnklight","trnkother","brchlight","brchshoe","brchother"
11354,0.338167938931298,0.0580152671755725,0,0,0.298473282442748,0.732824427480916,0.991603053435114,0.915267175572519,0,0.999236641221374,0.816793893129771,0.819847328244275,0.999236641221374,0.9
11355,0.143778452200303,0.0367981790591806,0,0,0.290212443095599,0.750758725341426,0.999241274658574,0.915781487101669,0,0.998482549317147,0.944233687405159,0.794006069802731,1,0.954097116843703
11356,0.212699822380107,0.0399644760213144,0,0,0.380550621669627,0.858792184724689,1,0.811722912966252,0,0.998223801065719,0.492895204262877,0.656749555950266,0.99911190053286,0.973801065719361
11357,0.149354640442532,0.0288875230485556,0,0,0.226183159188691,0.845728334357714,0.999385371850031,0.948985863552551,0,0.998770743700061,0.963736939151813,0.825445605408728,1,0.980331899200983
11358,0.125443786982249,0.0449704142011834,0,0,0.365680473372781,0.627218934911243,1,0.897041420118343,0,1,0.882840236686391,0.803550295857988,1,0.978698224852071
11359,0,0.0769230769230769,0,0,0.230769230769231,0.615384615384615,1,0.923076923076923,0,1,1,1,1,1
11360,0.163992869875223,0.035650623885918,0,0,0.233511586452763,0.789661319073084,1,0.942959001782531,0,0.998217468805704,0.950089126559715,0.777183600713013,1,0.932263814616756
11361,0.161682984916645,0.0492193702037576,0,0,0.30166710770045,0.734585869277587,0.999470759460175,0.92775866631384,0,0.999735379730087,0.910293728499603,0.831172267795713,0.999470759460175,0.965599364911352
11362,0.214971209213052,0.0268714011516315,0,0,0.0978886756238004,0.809980806142035,1,0.986564299424184,0,1,0.994241842610365,0.942418426103647,1,0.99616122840691
11363,0.233252623083132,0.069410815173527,0,0,0.171105730427764,0.795803066989508,1,0.979822437449556,0,0.999192897497982,0.989507667473769,0.924939467312349,1,0.995964487489911
11364,0.172227231740307,0.0378719567177637,0,0,0.206492335437331,0.828674481514878,1,0.891794409377818,0,1,0.937781785392245,0.921550946798918,0.999098286744815,0.952209197475203
11365,0.170550322260783,0.0342092216162618,0,0,0.259295984134854,0.771938522558255,0.997521070897372,0.882994546355974,0,1,0.912741695587506,0.848785324739712,0.999504214179474,0.967278135845315
11366,0.153846153846154,0.0153846153846154,0,0,0.271794871794872,0.738461538461539,1,0.884615384615385,0,1,0.984615384615385,0.976923076923077,1,0.994871794871795
11367,0.1002331002331,0.0163170163170163,0,0,0.303030303030303,0.579254079254079,1,0.979020979020979,0,1,0.928904428904429,0.974358974358974,0.998834498834499,0.983682983682984
11368,0.159424379232506,0.052765237020316,0,0,0.281038374717833,0.775959367945824,0.997178329571106,0.954571106094808,0,0.993792325056433,0.917607223476298,0.806997742663657,0.999435665914221,0.963600451467269
11369,0.142857142857143,0.0341614906832298,0,0,0.272256728778468,0.728260869565217,0.989648033126294,0.942546583850932,0,0.999482401656315,0.930124223602484,0.891304347826087,1,0.975155279503106
